Judul,Author,Genre,Year,Rating
Pengantar Akuntansi 1 Edisi 2,"Agus Purwaji,murtanto,wibowo",Akuntansi,2016.0,5.0
Akuntansi Suatu Pengantar 1-Berbasis Psak (E2),Catur Sasongko Dkk,Akuntansi,2019.0,5.0
Akuntansi Intermediate: Akuntansi Keuangan Menengah,Hery,Akuntansi Lanjutan,2016.0,4.9
Akuntansi Keuangan Menengah Berbasis Psak Ed 2 Buku 1,Dwi Martani Dkk,Akuntansi Lanjutan,2024.0,4.7
Akuntansi Pajak Edisi 6,Waluyo,Akuntansi Pajak,2016.0,5.0
Akuntansi Keuangan Lanjutan 1 Berbasis PSAK,"Dwi Martani,taufik Hidayat,agustin Sn,teguh I",Akuntansi Lanjutan,2016.0,4.3
Akuntansi Keuangan Menengah Berbasis Psak Buku 2,Dwi Martani Dkk,Akuntansi Lanjutan,2018.0,4.6
Sistem Akuntansi Edisi 4,Mulyadi,Sistem Informasi Akuntansi,2021.0,5.0
Akuntansi Biaya Edisi 2,"Agus Purwaji,wibowo ,sabarudin Muslim",Akuntansi Biaya,2016.0,5.0
Teori Akuntansi,Sofyan Syafri,Akuntansi,2017.0,4.8
Akuntansi Dasar 1 & 2,"Hery, S.e., M.si., Crp., Rsa.",Akuntansi,2013.0,5.0
Teori Akuntansi Perekayasaan Pelaporan Keuangan Edisi 3,Suwardjono,Akuntansi,2023.0,4.9
Pengantar Akuntansi Adaptasi IFRS Konsep & Teknik Penyusunan Laporan Keuangan,Rudianto,Akuntansi,2012.0,4.8
Akuntansi Keuangan Lanjutan Perspektif Indonesia Edisi 2 Buku 1,Richard E Baker Dkk,Akuntansi Lanjutan,2019.0,5.0
Akuntansi Intermediate Ed 12 Jld 2,Donald E Kieso,Akuntansi Lanjutan,2022.0,4.0
Akuntansi Keuangan Ifrs 1 Ed 8,Charles T. Hongren  Walter T. Harrison Jr  C William Thomas  Themin Suwardy,Akuntansi KEUangan,2012.0,5.0
Pengantar Akuntansi Manajemen Jilid 1 Edisi Ke 16,Horngren Dkk,Akuntansi Manajemen,2020.0,5.0
Akuntansi Intermediate Jilid 3 Edisi 12,Kieso . Donald E,Akuntansi Lanjutan,2020.0,5.0
Akuntansi Intermediate Ed 12 Jl.1,Donald,Akuntansi Lanjutan,2021.0,5.0
Excel Akuntansi,Hendra Wijaya,Akuntansi,2015.0,5.0
Excel Akuntansi Dagang,Hendra Wijaya,Akuntansi,2016.0,5.0
PivotTable & PivotChart untuk Akuntansi Excel — Cara Praktis Membuat Siklus Akuntansi dengan MS Excel,Jubilee Enterprise,Akuntansi,2015.0,5.0
Konsep Konsep Dasar Akuntansi Keuangan,IBPUTRAASTIKA,Akuntansi,2020.0,5.0
Akuntansi Dasar 1 dan 2,"Herry, Se",Akuntansi,2019.0,5.0
Akuntansi Internasional,"Drs Sunardi, M.Si., Akt & Drs Danang Sunyoto",Akuntansi Lanjutan,2015.0,4.6
PENGANTAR AKUNTANSI UNTUK KORPORASI,"JURANA NURDIN, DKK",Akuntansi,2018.0,4.0
Akuntansi Manajemen Berbasis Desain,Subagyo Dkk,Akuntansi Manajemen,2018.0,4.9
Microsoft Office Project&Myob Accounting: Mudah Mengelola Proyek&Pembukuannya,Eko Hari Atmoko & Aftoni Sutanto,Akuntansi,2014.0,4.0
Filsafat Ilmu Akuntansi,Iwan Triyuwono,Akuntansi,2016.0,4.8
Akuntansi Manajemen Edisi 2,Krismiaji,Akuntansi Manajemen,2017.0,5.0
"AKUNTANSI PERUSAHAAN JASA , APLIKASI , PROGRAM ZAHIR ACCOUNTING VERSI 6","Dr. Martinus Robert Hutauruk, S.E., M.M., Ak., CA.",Akuntansi,2018.0,5.0
Buku Latihan Pengantar Akuntansi 2,Yuliansyah,Akuntansi,2019.0,5.0
Akuntansi Suatu Pengantar Berbasis PSAK Buku 1,Catur Sasongko Dkk,Akuntansi,2017.0,4.5
Pengantar Akuntansi 2 Berbasis Ifrs (E2),"WEYGANDT, KIESO",Akuntansi,2018.0,4.9
Pengantar Akuntansi (E5),"FIRDAUS A. DUNIA,QURATUL AIN MUBARAKAH",Akuntansi,2019.0,5.0
Akuntansi Perhotelan: Uniform System of Accounts,Ibm Wiyasha,Akuntansi,2011.0,4.7
Pengantar Akuntansi 2—Adaptasi Indonesia (E4),"WARREN, AT AL",Akuntansi,2019.0,5.0
Pengantar Akuntansi 1 Berbasis Ifrs (E2),"WEYGANDT, KIESO",Akuntansi,2010.0,4.0
PENGANTAR AKUNTANSI 1-ADAPTASI INDONESIA (E4),"Carl S. Warren, James M. Reeve, Jonathan E Duchac, Ersa Tri Wahyuni, Amir Abadi Jusuf",Akuntansi,2017.0,5.0
Akuntansi Intermedite Ifrs,Rudianto,Akuntansi Lanjutan,2012.0,5.0
Akuntansi Keuangan Menengah [Intermediate Acc Vol. 1]-Ifrs,KIESO-WEYGANDT,Akuntansi Lanjutan,2010.0,4.0
